Id Articulo,Nombre Producto,Precio Venta,Costo,Utilidad
7128,VASO CHELERO CON POPOTE FLUORESCENTE,20.85,14.59,30
7129,VASO DE PLASTICO 16 OZ  FLUORESCENTE Y TRANSPARENTE,14.15,9.9,30
7130,VASO CON POPOTE SINGLE 500ML,14.9,10.43,30
